Episode,path
209,"[array([0, 2, 7]), array([0, 1, 7]), array([1, 2, 8]), array([2, 1, 9]), array([1, 0, 6]), array([0, 0, 6]), array([-1, -1,  9])]"
210,"[array([0, 2, 7]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 4, 7]), array([3, 5, 8])]"
211,"[array([0, 2, 7]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 2, 9]), array([1, 1, 6])]"
212,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([-1,  3,  6])]"
213,"[array([0, 2, 7]), array([-1,  1,  8])]"
214,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 0, 7]), array([ 1, -1,  8])]"
215,"[array([2, 0, 7]), array([ 1, -1,  8])]"
216,"[array([2, 0, 7]), array([ 2, -1,  7])]"
217,"[array([2, 2, 9]), array([2, 3, 9]), array([1, 2, 6]), array([2, 1, 7]), array([1, 0, 8]), array([0, 1, 9]), array([0, 2, 9]), array([1, 3, 6]), array([0, 4, 7]), array([1, 5, 8])]"
218,"[array([2, 0, 7]), array([ 1, -1,  8])]"
219,"[array([2, 0, 7]), array([ 1, -1,  8])]"
220,"[array([0, 2, 7]), array([-1,  1,  8])]"
221,"[array([2, 1, 6]), array([3, 0, 7]), array([ 4, -1,  6])]"
222,"[array([2, 0, 7]), array([ 3, -1,  6])]"
223,"[array([2, 0, 7]), array([ 1, -1,  8])]"
224,"[array([2, 0, 7]), array([ 1, -1,  8])]"
225,"[array([2, 0, 7]), array([ 1, -1,  8])]"
226,"[array([0, 1, 6]), array([-1,  0,  9])]"
227,"[array([0, 0, 9]), array([1, 1, 6]), array([2, 0, 7]), array([ 1, -1,  8])]"
228,"[array([2, 0, 7]), array([ 1, -1,  8])]"
229,"[array([2, 1, 6]), array([3, 0, 7]), array([2, 1, 6]), array([3, 0, 7]), array([ 4, -1,  6])]"
230,"[array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([1, 3, 8]), array([0, 2, 7]), array([0, 1, 7]), array([1, 0, 6]), array([2, 1, 9]), array([1, 2, 8]), array([0, 1, 7])]"
231,"[array([2, 2, 9]), array([1, 3, 8]), array([0, 2, 7]), array([1, 1, 6]), array([2, 2, 9]), array([2, 3, 9]), array([1, 4, 8]), array([2, 3, 9]), array([1, 4, 8]), array([2, 5, 7])]"
232,"[array([2, 2, 9]), array([2, 1, 9]), array([1, 2, 8]), array([0, 1, 7]), array([-1,  0,  8])]"
233,"[array([2, 0, 7]), array([ 3, -1,  6])]"
234,"[array([2, 2, 9]), array([1, 3, 8]), array([2, 2, 9]), array([2, 3, 9]), array([1, 2, 6]), array([0, 3, 7]), array([1, 4, 8]), array([2, 3, 9]), array([1, 2, 6]), array([0, 3, 7])]"
